title,budget,revenue,profit
The Artist,15000000,133432856,118432856
Cinderella Man,88000000,108539911,20539911
Dawn of the Dead,28000000,102356381,74356381
Creed,37000000,173567581,136567581
Galaxy Quest,45000000,90683916,45683916
Funny Ha Ha,0,76901,76901
The Soloist,60000000,31720158,-28279842
Ice Age: The Meltdown,80000000,660998756,580998756
The November Man,15000000,32556119,17556119
Madagascar,75000000,542063846,467063846
L!fe Happens,930000,30905,-899095
Brotherly Love,1900000,0,-1900000
Konferenz der Tiere,0,0,0
Last Holiday,45000000,38399961,-6600039
United Passions,27000000,0,-27000000
Kurmanjan Datka. Queen of the Mountains,1400000,0,-1400000
16 to Life,0,0,0
Mulholland Drive,15000000,20117339,5117339
How to Deal,0,0,0
Departure,0,0,0
Earth to Echo,13000000,45300000,32300000
Kung Fu Panda 3,145000000,521170825,376170825
Absentia,70000,0,-70000
Burnt,20000000,36606743,16606743
The Informers,18000000,382174,-17617826
Me You and Five Bucks,0,0,0
Child 44,50000000,3324330,-46675670
Jesus' Son,2500000,1300000,-1200000
S.W.A.T.,80000000,116643346,36643346
The Purge: Anarchy,9000000,111928365,102928365
Welcome to Collinwood,1200000,0,-1200000
Arlington Road,21500000,0,-21500000
Blue Crush,25000000,51842679,26842679
Death to Smoochy,55000000,0,-55000000
Pride and Prejudice and Zombies,28000000,16374328,-11625672
Whale Rider,8000000,41400000,33400000
The Thirteenth Floor,16000000,18564088,2564088
Crocodile Dundee in Los Angeles,21150000,39438674,18288674
The Wind That Shakes the Barley,6500000,22889018,16389018
Dreamgirls,70000000,154937680,84937680
Post Grad,15000000,6414729,-8585271
Wall Street: Money Never Sleeps,70000000,134748021,64748021
The Scorpion King,60000000,165333180,105333180
The Greatest Movie Ever Sold,0,621951,621951
The Core,60000000,74208267,14208267
Nacho Libre,35000000,99255460,64255460
One Hour Photo,12000000,52223306,40223306
The Queen,15000000,123384128,108384128
Final Destination 2,26000000,90941129,64941129
Mars Needs Moms,150000000,38992758,-111007242
Super Size Me,65000,28575078,28510078
Krampus,15000000,61788393,46788393
Thir13en Ghosts,42000000,68467960,26467960
Vacation,31000000,104384188,73384188
Babylon A.D.,70000000,72108608,2108608
Hollow Man,95000000,190213455,95213455
Carriers,0,5802422,5802422
The Lincoln Lawyer,40000000,85412898,45412898
The Descent,3500000,57051053,53551053
Transformers: Age of Extinction,210000000,1104000000,894000000
Zoolander,28000000,60780981,32780981
Hop,63000000,183953723,120953723
The Talented Mr. Ripley,40000000,128798265,88798265
Surf's Up,85000000,149044513,64044513
Precious,10000000,47536959,37536959
Year One,60000000,62357900,2357900
The Transporter Refueled,25000000,72629670,47629670
Never Let Me Go,15000000,9918093,-5081907
Sherlock Holmes: A Game of Shadows,125000000,334615000,209615000
The Royal Tenenbaums,21000000,71441250,50441250
Rocky Balboa,24000000,155721132,131721132
She's Out of My League,20000000,49779728,29779728
Snow White and the Huntsman,170000000,396600000,226600000
Because I Said So,0,69485490,69485490
Election,0,0,0
Stranger Than Fiction,30000000,53653224,23653224
The Corruptor,25000000,15156200,-9843800
Street Kings,20000000,65569869,45569869
District 9,30000000,210819611,180819611
300,65000000,422610419,357610419
Before Midnight,3000000,11176469,8176469
TMNT,34000000,95608995,61608995
On the Line,0,0,0
功夫,20000000,101434304,81434304
Charlie's Angels: Full Throttle,120000000,259175788,139175788
Johnny English,40000000,160583018,120583018
Love in the Time of Monsters,0,0,0
Living Dark: The Story of Ted the Caver,0,0,0
Hanna,30000000,63782078,33782078
Night at the Museum: Secret of the Tomb,127000000,363204635,236204635
Kung Fu Panda,130000000,631744560,501744560
Corky Romano,11000000,23978402,12978402
The Adventures of Rocky & Bullwinkle,76000000,35134820,-40865180
Final Destination,23000000,112880294,89880294
Jersey Girl,35000000,35492921,492921
Prince of Persia: The Sands of Time,150000000,335154643,185154643
American Psycho,7000000,34266564,27266564
Frida,12000000,56298474,44298474
Rabbit-Proof Fence,0,0,0
Monster's Ball,4000000,44909486,40909486
Blood Diamond,100000000,171720398,71720398
Shortbus,2000000,5179037,3179037
Blood Work,50000000,31794718,-18205282
The Fountain,35000000,15304890,-19695110
Me and You and Everyone We Know,0,0,0
Y tu mamá también,5000000,33616692,28616692
Friends with Benefits,35000000,149542245,114542245
Just Go with It,80000000,214945591,134945591
Griff the Invisible,2902660,0,-2902660
Big Momma's House,30000000,173959438,143959438
Party Monster,5000000,742898,-4257102
The Departed,90000000,291465000,201465000
The Order,35000000,11560806,-23439194
Elizabethtown,57000000,52164016,-4835984
25th Hour,5000000,24000000,19000000
Alex & Emma,30000000,15368897,-14631103
Little Children,26000000,14821658,-11178342
Scooby-Doo,84000000,275650703,191650703
My Name Is Khan,12000000,42345360,30345360
Cheaper by the Dozen 2,60000000,129181830,69181830
Superman Returns,270000000,391081192,121081192
Coffee Town,2000000,0,-2000000
The Italian Job,60000000,176070171,116070171
Black Christmas,9000000,21510851,12510851
Flyboys,60000000,17834865,-42165135
The Black Dahlia,50000000,49111202,-888798
Grace Unplugged,0,0,0
Hellboy,66000000,99318987,33318987
Gone in Sixty Seconds,90000000,237202299,147202299
The World's End,20000000,46089287,26089287
Pulse,38000000,29907685,-8092315
Bubble Boy,0,0,0
Miss Congeniality,45000000,212000000,167000000
滿城盡帶黃金甲,45000000,78568977,33568977
Igby Goes Down,9000000,4777465,-4222535
Because of Winn-Dixie,14000000,32645546,18645546
Hollywood Ending,16000000,0,-16000000
Wanderlust,35000000,24159934,-10840066
The Walking Deceased,0,0,0
Lady in the Water,70000000,72785169,2785169
The Last Legion,67000000,25303038,-41696962
My Summer of Love,0,0,0
The Last King of Scotland,6000000,48027970,42027970
My Dog Skip,6000000,35547761,29547761
Talladega Nights: The Ballad of Ricky Bobby,72500000,162966177,90466177
A Good Year,35000000,42064105,7064105
Spy Game,115000000,143049560,28049560
Where the Truth Lies,25000000,0,-25000000
Collateral,65000000,217764291,152764291
Snow Flower and the Secret Fan,134005,1332231,1198226
Changing Lanes,45000000,94935764,49935764
Imagine Me & You,0,2455831,2455831
Thumbsucker,0,1919197,1919197
Ghost World,7000000,0,-7000000
Unbreakable,75000000,248118121,173118121
Avengers: Age of Ultron,250000000,1405403694,1155403694
28 Weeks Later,15000000,65048678,50048678
Insidious: Chapter 3,10000000,104303851,94303851
Cellular,25000000,56422687,31422687
Live Free or Die Hard,110000000,383531464,273531464
Goal!,10000000,27610873,17610873
Men with Brooms,7500000,4245870,-3254130
Gridiron Gang,30000000,41480851,11480851
The Break-Up,52000000,205668210,153668210
Take Me Home Tonight,19000000,6928068,-12071932
Million Dollar Arm,25000000,38307627,13307627
